VCD info: dumpfile test.vcd opened for output.
pc: 0xxxxx ; opcode: xxxxxxx ; funct3: xxx ; funct7: xxxxxxx, a: xxxxxxxx ; b: xxxxxxxx ; op: x ; alu_out: xxxxxxxx ; ra: xxxxxxxx ; sp: xxxxxxxx ; a0: xxxxxxxx ; mem_rd_data: xxxxxxxx ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x0000 ; opcode: xxxxxxx ; funct3: xxx ; funct7: xxxxxxx, a: xxxxxxxx ; b: xxxxxxxx ; op: x ; alu_out: xxxxxxxx ; ra: 00000000 ; sp: 00000000 ; a0: 00000000 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x0004 ; opcode: xxxxxxx ; funct3: xxx ; funct7: xxxxxxx, a: xxxxxxxx ; b: xxxxxxxx ; op: x ; alu_out: xxxxxxxx ; ra: 00000000 ; sp: 00000000 ; a0: 00000000 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x0004 ; opcode: 0010011 ; funct3: 000 ; funct7: 1111111, a: xxxxxxxx ; b: xxxxxxxx ; op: x ; alu_out: xxxxxxxx ; ra: 00000000 ; sp: 00000000 ; a0: 00000000 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x0008 ; opcode: 0010011 ; funct3: 000 ; funct7: 1111111, a: 00000000 ; b: fffffff0 ; op: 0 ; alu_out: fffffff0 ; ra: 00000000 ; sp: 00000000 ; a0: 00000000 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x0008 ; opcode: 0010011 ; funct3: 000 ; funct7: 1111111, a: 00000000 ; b: fffffff0 ; op: 0 ; alu_out: fffffff0 ; ra: 00000000 ; sp: fffffff0 ; a0: 00000000 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x0008 ; opcode: 0010111 ; funct3: 000 ; funct7: 0000000, a: 00000000 ; b: fffffff0 ; op: 0 ; alu_out: fffffff0 ; ra: 00000000 ; sp: fffffff0 ; a0: 00000000 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x000c ; opcode: 0010111 ; funct3: 000 ; funct7: 0000000, a: 00000000 ; b: 00000000 ; op: 1 ; alu_out: 00000000 ; ra: 00000000 ; sp: fffffff0 ; a0: 00000000 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x000c ; opcode: 0010111 ; funct3: 000 ; funct7: 0000000, a: 00000000 ; b: 00000000 ; op: 1 ; alu_out: 00000000 ; ra: 00008008 ; sp: fffffff0 ; a0: 00000000 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x000c ; opcode: 0000011 ; funct3: 010 ; funct7: 0000100, a: 00000000 ; b: 00000000 ; op: 1 ; alu_out: 00000000 ; ra: 00008008 ; sp: fffffff0 ; a0: 00000000 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0010 ; opcode: 0000011 ; funct3: 010 ; funct7: 0000100, a: 00008008 ; b: 00000000 ; op: 1 ; alu_out: 00000000 ; ra: 00008008 ; sp: fffffff0 ; a0: 00000000 ; mem_rd_data: 78030000 ; mem_addr: 00a2 ; mem_wr_data: 00000000 ; load_out: 78030000
